Age,EdLevel,Employment,WorkExp,YearsCode,DevType,OrgSize,ICorPM,RemoteWork,Industry,Country,CompTotal,LanguageHaveWorkedWith,DatabaseChoice,DatabaseHaveWorkedWith,ConvertedCompYearly,ConvertedCompYearly_w
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,14.0,10.0,Data scientist,20 to 99 employees,Individual contributor,Remote,Other:,Germany,150000.0,Bash/Shell (all shells);Python;R,Yes,Neo4J;PostgreSQL;SQLite,174022.0,174022.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",25.0,20.0,Database administrator or engineer,nan,nan,nan,Software Development,France,120000.0,Bash/Shell (all shells);C#;HTML/CSS;PowerShell;Python;SQL,Yes,BigQuery;Databricks SQL;DuckDB;IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Snowflake;Clickhouse,139218.0,139218.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,2.0,8.0,Data scientist,Less than 20 employees,Individual contributor,In-person,Higher Education,United States of America,43280.0,Bash/Shell (all shells);Python;SQL;VBA,Yes,Snowflake;SQLite,43280.0,43280.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,5.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,United States of America,140000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;PowerShell;Python;R;SQL;VBA,Yes,DuckDB;Dynamodb;Elasticsearch;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite;Amazon Redshift,140000.0,140000.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,32.0,18.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,Remote,Government,United Kingdom of Great Britain and Northern Ireland,34600.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;Rust;SQL;VBA,Yes,BigQuery;DuckDB;Neo4J,47105.0,47105.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,11.0,15.0,Data scientist,20 to 99 employees,Individual contributor,In-person,Government,New Zealand,170000.0,HTML/CSS;JavaScript;R;SQL,Yes,Microsoft SQL Server,102400.0,102400.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Not employed,7.0,10.0,Data scientist,nan,nan,nan,nan,Germany,75000.0,Go;Java;JavaScript;Python;SQL,Yes,Dynamodb;Elasticsearch;Microsoft SQL Server;Amazon Redshift,87011.0,87011.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,13.0,8.0,Data scientist,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Computer Systems Design and Services,United States of America,150000.0,Bash/Shell (all shells);HTML/CSS;Python;R;SQL;VBA,Yes,PostgreSQL,150000.0,150000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,12.0,13.0,Data or business analyst,"10,000 or more employees",Individual contributor,Remote,Government,Canada,90000.0,HTML/CSS;JavaScript,Yes,MongoDB,65663.0,65663.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,30.0,40.0,Data engineer,"5,000 to 9,999 employees",People manager,In-person,Energy,United States of America,250000.0,Python;SQL,Yes,Microsoft SQL Server;Oracle;PostgreSQL;Snowflake;SQLite,250000.0,250000.0
55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,38.0,42.0,Data scientist,Less than 20 employees,People manager,"Hybrid (some remote, leans heavy to in-person)",Energy,Argentina,50000000.0,C#;HTML/CSS;MATLAB;Python,Yes,Microsoft SQL Server;MySQL;PostgreSQL,42653.0,42653.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,22.0,28.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,Remote,"Internet, Telecomm or Information Services",Mexico,1500000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Yes,PostgreSQL;Redis;Snowflake,78959.0,78959.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,3.0,8.0,Data scientist,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Media & Advertising Services,Germany,52000.0,Python;SQL,Yes,BigQuery;PostgreSQL,60328.0,60328.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,8.0,Data engineer,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,167000.0,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,Yes,BigQuery;Elasticsearch;PostgreSQL,167000.0,167000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,10.0,13.0,Data scientist,100 to 499 employees,People manager,Remote,Insurance,United States of America,200000.0,Python;R;SQL,Yes,Databricks SQL;Microsoft SQL Server,200000.0,200000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,15.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Other:,United States of America,120000.0,Bash/Shell (all shells);C;C#;C++;Fortran;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript;VBA;Visual Basic (.Net),Yes,Microsoft Access;Microsoft SQL Server;SQLite,120000.0,120000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,10.0,Data engineer,"10,000 or more employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Banking/Financial Services,Brazil,230000.0,Bash/Shell (all shells);Python;SQL,Yes,nan,41868.0,41868.0
55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,33.0,28.0,Data engineer,100 to 499 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",United States of America,143000.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,Yes,MySQL;PostgreSQL;Snowflake,143000.0,143000.0
18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,5.0,7.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Software Development,Ukraine,2000000.0,Bash/Shell (all shells);Python;Scala;SQL,Yes,Databricks SQL,47932.0,47932.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,5.0,Data or business analyst,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Insurance,United States of America,85000.0,Python;R;SQL,Yes,nan,85000.0,85000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,8.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Media & Advertising Services,France,52000.0,Bash/Shell (all shells);Python;Scala;SQL,Yes,BigQuery;DuckDB;Elasticsearch;MongoDB;PostgreSQL,60328.0,60328.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,15.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Software Development,United States of America,165000.0,Bash/Shell (all shells);JavaScript;Python;SQL,Yes,BigQuery;Databricks SQL;Microsoft SQL Server;Snowflake,165000.0,165000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",15.0,25.0,Data scientist,nan,nan,nan,Manufacturing,Czech Republic,50000.0,HTML/CSS;JavaScript;Python;VBA,Yes,MySQL;SQLite,2340.0,2340.0
45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,13.0,15.0,Data scientist,20 to 99 employees,Individual contributor,Remote,Media & Advertising Services,United States of America,200000.0,Bash/Shell (all shells);Python;R;SQL,Yes,PostgreSQL;SQLite;Amazon Redshift,200000.0,200000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,3.0,8.0,Data engineer,"1,000 to 4,999 employees",Individual contributor,In-person,Other:,United States of America,70000.0,C;C++;HTML/CSS;MicroPython;PowerShell;Python;SQL,Yes,Microsoft Access;SQLite,70000.0,70000.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,22.0,7.0,Data or business analyst,"5,000 to 9,999 employees",People manager,In-person,Higher Education,New Zealand,130810.0,R;SQL,Yes,Snowflake,78794.0,78794.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,15.0,25.0,Data engineer,100 to 499 employees,Individual contributor,Remote,Software Development,United States of America,190000.0,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Yes,DuckDB;Microsoft SQL Server;PostgreSQL;Snowflake,190000.0,190000.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,20.0,3.0,Database administrator or engineer,100 to 499 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Government,United States of America,160000.0,nan,Yes,Microsoft Access;Microsoft SQL Server;MySQL;PostgreSQL,160000.0,160000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,9.0,9.0,Data scientist,"10,000 or more employees",Individual contributor,In-person,Banking/Financial Services,United States of America,210000.0,Python;R;SQL;VBA,Yes,Databricks SQL;IBM DB2;Microsoft SQL Server,210000.0,210000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",12.0,9.0,Data scientist,nan,nan,nan,Retail and Consumer Services,Australia,197000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;R;SQL,Yes,Databricks SQL;Microsoft SQL Server;PostgreSQL;Snowflake,128068.0,128068.0
65 years or older,Some college/university study without earning a degree,Retired,35.0,35.0,Data engineer,I don’t know,Individual contributor,Remote,Government,United States of America,185000.0,Bash/Shell (all shells);C++;Delphi;HTML/CSS;Python;SQL,Yes,MariaDB;MongoDB;MySQL;Oracle;PostgreSQL;SQLite;Amazon Redshift,185000.0,185000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,4.0,10.0,Data engineer,100 to 499 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Manufacturing,Australia,119000.0,C#;Java;JavaScript;Python;SQL,Yes,PostgreSQL,77361.0,77361.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,16.0,Data or business analyst,100 to 499 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Software Development,India,100000.0,Python;R,Yes,BigQuery;Databricks SQL;Microsoft SQL Server;Snowflake;Amazon Redshift,1162.0,1162.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,11.0,Data engineer,20 to 99 employees,Individual contributor,Remote,Healthcare,Canada,150000.0,Bash/Shell (all shells);Go;Python;SQL,Yes,Databricks SQL;Microsoft SQL Server;PostgreSQL;Redis;Snowflake,109438.0,109438.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,10.0,12.0,Data or business analyst,500 to 999 employees,Individual contributor,Remote,"Internet, Telecomm or Information Services",United States of America,75000.0,HTML/CSS;JavaScript;Python;VBA,Yes,PostgreSQL;Amazon Redshift,75000.0,75000.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,6.0,10.0,Data scientist,"5,000 to 9,999 employees",Individual contributor,In-person,"Transportation, or Supply Chain",Brazil,120000.0,Python;SQL,Yes,Elasticsearch;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,21844.0,21844.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",15.0,19.0,Data engineer,nan,nan,nan,Software Development,Kenya,13000.0,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;R;SQL,Yes,Microsoft SQL Server;MySQL;SQLite,13000.0,13000.0
55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,33.0,15.0,Data or business analyst,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Transportation, or Supply Chain",United States of America,105000.0,JavaScript;SQL;VBA,Yes,BigQuery;Microsoft Access,105000.0,105000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,20.0,25.0,Data scientist,20 to 99 employees,Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,United States of America,210000.0,Bash/Shell (all shells);C++;Fortran;HTML/CSS;JavaScript;Perl;Python;SQL,Yes,MySQL;SQLite,210000.0,210000.0
45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,30.0,40.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,"Internet, Telecomm or Information Services",United States of America,150000.0,C;C#;C++;Go;HTML/CSS;Python;Swift,Yes,DuckDB;Dynamodb;PostgreSQL;SQLite,150000.0,150000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,3.0,5.0,Data engineer,Less than 20 employees,Individual contributor,Remote,Healthcare,United States of America,80000.0,Bash/Shell (all shells);JavaScript;Python;SQL;TypeScript,Yes,Databricks SQL;DuckDB;Dynamodb;Snowflake,80000.0,80000.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,21.0,40.0,Database administrator or engineer,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)","Transportation, or Supply Chain",United States of America,153000.0,Bash/Shell (all shells);PHP;PowerShell;Python;SQL,Yes,InfluxDB;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,153000.0,153000.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,5.0,Data or business analyst,I don’t know,Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Other:,United States of America,153745.0,Bash/Shell (all shells);HTML/CSS;Lua;PowerShell;Python;R;SQL,Yes,Databricks SQL;DuckDB;SQLite,153745.0,153745.0
25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,4.0,8.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,Remote,Media & Advertising Services,United States of America,160000.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;Python;Rust;SQL;TypeScript,Yes,BigQuery;H2;MySQL;PostgreSQL;SQLite,160000.0,160000.0
35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",5.0,20.0,Data engineer,nan,nan,nan,Manufacturing,Canada,70000.0,Elixir;JavaScript;PowerShell;Python;SQL,Yes,Databricks SQL;Microsoft SQL Server,51071.0,51071.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,6.0,5.0,Data scientist,100 to 499 employees,Individual contributor,In-person,Government,India,900000.0,C;PowerShell;Python;R,No,nan,10462.0,10462.0
45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,19.0,30.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,"Hybrid (some in-person, leans heavy to flexibility)",Software Development,Thailand,5000000.0,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Scala;SQL;TypeScript,Yes,Elasticsearch;Microsoft SQL Server;PostgreSQL,152968.0,152968.0
25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,8.0,9.0,Data scientist,"10,000 or more employees",Individual contributor,Remote,Government,United States of America,95000.0,Bash/Shell (all shells);Groovy;Python;R;Rust;SQL,Yes,BigQuery;MySQL;PostgreSQL;SQLite,95000.0,95000.0
45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Employed,30.0,7.0,Database administrator or engineer,"10,000 or more employees",Individual contributor,"Hybrid (some remote, leans heavy to in-person)",Government,Switzerland,130000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;SQL,Yes,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,161191.0,161191.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,13.0,28.0,Data or business analyst,"5,000 to 9,999 employees",Individual contributor,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,United States of America,200000.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,Yes,BigQuery,200000.0,200000.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,10.0,Data engineer,"5,000 to 9,999 employees",Individual contributor,In-person,Banking/Financial Services,Spain,70000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;VBA,Yes,Databricks SQL;PostgreSQL;SQLite,81210.0,81210.0
35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Employed,14.0,15.0,Data scientist,20 to 99 employees,People manager,"Your choice (very flexible, you can come in when you want or just as needed)",Software Development,Spain,45000.0,Bash/Shell (all shells);Python;SQL,No,nan,52207.0,52207.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Independent contractor, freelancer, or self-employed",15.0,20.0,Data scientist,"Just me - I am a freelancer, sole proprietor, etc.",People manager,"Hybrid (some remote, leans heavy to in-person)",Computer Systems Design and Services,United States of America,200000.0,Ada;C;Fortran;HTML/CSS;JavaScript;Lua;MATLAB;PowerShell;Python;Mojo,No,nan,200000.0,200000.0
45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed,26.0,35.0,Data scientist,"1,000 to 4,999 employees",People manager,In-person,Manufacturing,Switzerland,123000.0,C#;C++;Delphi;JavaScript;Python;SQL,Yes,MariaDB;Microsoft Access;Microsoft SQL Server;SQLite,152511.0,152511.0
25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,6.0,8.0,Data scientist,Less than 20 employees,Individual contributor,Remote,Manufacturing,Italy,26000.0,Python;SQL;TypeScript;VBA,Yes,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,30164.0,30164.0
35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed,14.0,15.0,Database administrator or engineer,20 to 99 employees,Individual contributor,"Hybrid (some remote, leans heavy to in-person)","Transportation, or Supply Chain",Netherlands,52000.0,C#;SQL,Yes,Microsoft SQL Server,60328.0,60328.0
